ROUND,YEAR,DATE,VENUE,GAMEID,AWAY,HOME,AWAY_LEAGUE,HOME_LEAGUE,AWAY_SCORE,HOME_SCORE,PK,AWAY_PK,HOME_PK,AET,REFEREE,ATTENDANCE,WEATHER_DESC,TEMP
1,2017,09-May-2017,Tropical Park,1,South Florida Surf,Red Force FC,PDL,USASA,4,2,FALSE,,,FALSE,Anya Voight,100,Clear,75
1,2017,09-May-2017,Batteground Stadium,2,Christos FC,Fredricksburg FC,USASA,NPSL,3,0,FALSE,,,FALSE,Jordan Gray,1056,Clear,75
1,2017,10-May-2017,Atlanta Silverbacks Park,3,SC United Bantams,Atlanta Silverbacks,PDL,NPSL,1,4,FALSE,,,FALSE,David Jaye,100,Clear,81
1,2017,10-May-2017,Boxer Stadium,4,Burlingame Dragons FC,El Farolito,NPSL,USASA,0,0,TRUE,6,5,TRUE,Elijo Arreguin,200,Clear,61
1,2017,10-May-2017,Lusitano Stadium,5,Boston City FC,Western Mass Pioneers,NPSL,PDL,2,2,TRUE,5,4,TRUE,Randall Kelley,703,Clear,75
1,2017,10-May-2017,St. John Vianney High School,6,FC Motown,New Jersey Copa FC,USASA,NPSL,2,1,FALSE,,,TRUE,Luis Arroyo,893,Partly Cloudy,56
1,2017,10-May-2017,Charlotte Christian School,7,Chattanooga FC,Charlotte Eagles,NPSL,PDL,0,2,FALSE,,,FALSE,Dustin Thorne,253,Clear,87
1,2017,10-May-2017,Macpherson Stadium,8,Legacy 76,Carolina Dynamo,NPSL,PDL,1,2,FALSE,,,FALSE,Patrick Schmidt,300,Clear,81
1,2017,10-May-2017,Ted Hendricks Stadium,9,Boca Raton FC,Miami United FC,USASA,NPSL,1,2,FALSE,,,FALSE,Jorge Taborda,150,Partly Cloudy,75
1,2017,10-May-2017,Patton Park,10,The Villages SC,Jacksonville Armada U23,PDL,NPSL,1,2,FALSE,,,FALSE,Esteban Rosano,300,Clear,85
1,2017,10-May-2017,Carey Stadium,11,Junior Lone Star FC,Ocean City Noreasters,USASA,PDL,1,3,FALSE,,,FALSE,Tyler Wyrostek,250,Clear,55
1,2017,10-May-2017,Exeter Township Senior High School,12,Clarkstown SC Eagles,Reading United AC,NPSL,PDL,0,1,FALSE,,,FALSE,Melvin Holmes II,247,Clear,60
1,2017,10-May-2017,Ultimate Soccer Arenas,13,AFC Ann Arbor,Michigan Bucks,NPSL,PDL,0,1,FALSE,,,FALSE,Donovan Noocha,614,Indoors,
1,2017,10-May-2017,Woehrle Athletic Complex,14,Tartan Devils Oak Avalon,Derby City Rovers,USASA,PDL,1,1,TRUE,4,3,TRUE,Joshua Kelley,543,Partly Cloudy,76
1,2017,10-May-2017,Deering High School Memorial Field,15,GPS Omens,GPS Portland Phoenix,USASA,PDL,2,0,FALSE,,,FALSE,Michael Dee,100,Partly Cloudy,45
1,2017,10-May-2017,Dutch Lions FC Soccer Facility,16,NXT Rayados,Dutch Lions FC,USASA,NPSL,1,3,FALSE,,,FALSE,Christopher Scruggs,225,Clear,73
1,2017,10-May-2017,Hoyt Athletic Field,17,Azteca FC,FC Wichita,USASA,NPSL,0,1,FALSE,,,TRUE,Ricardo Gutierrez,1000,Rain,66
1,2017,10-May-2017,Valley Stadium,18,AFC Cleveland,Des Moines Menace,NPSL,PDL,3,1,FALSE,,,FALSE,Robert Sorey,871,Windy,65
1,2017,10-May-2017,Hurricane Soccer And Track Stadium,19,Oklahoma City Energy U23,Tulsa Athletic,PDL,NPSL,1,1,TRUE,4,2,TRUE,Travis Haight,1229,Overcast,76
1,2017,10-May-2017,Casa Grande High School,20,Anahuac FC,Sonoma County Sol,USASA,NPSL,1,1,TRUE,5,4,TRUE,Alex Marquand-Willse,500,Clear,55
1,2017,10-May-2017,Mission Bay High School,21,Chula Vista FC,Albion SC Pros,USASA,NPSL,3,2,FALSE,,,FALSE,Ricardo Fierro,3150,Overcast,64
1,2017,10-May-2017,Citrus College,22,Outbreak FC,FC Golden State Force,USASA,PDL,0,2,FALSE,,,FALSE,Michael Radchuk,227,Clear,65
1,2017,10-May-2017,Chukchanski Park,23,La Maquina FC,Fresno Fuego,USASA,PDL,1,4,FALSE,,,FALSE,Vincent Apple-Chiarella,1577,Partly Cloudy,75
1,2017,10-May-2017,Ventura College Sportsplex,24,Moreno Valley FC,Ventura County Fusion,USASA,PDL,2,1,FALSE,,,FALSE,Osvaldo Delgado-Landeros,475,Partly Cloudy,61
1,2017,10-May-2017,Kino North Stadium,25,Colorado Rush,FC Tuson,USSSA,PDL,1,3,FALSE,,,FALSE,Anthony Bersano,609,Clear,72
1,2017,10-May-2017,"Memorial Stadium (Seattle, WA)",26,Seattle Sounders FC U23,OSA FC,PDL,NPSL,0,0,TRUE,3,5,TRUE,Benjamin Oakley,200,Clear,63
1,2017,10-May-2017,Azusa Pacific University Soccer Field,27,San Diego Zest,Los Angeles Wolves,PDL,USASA,2,4,FALSE,,,FALSE,Reyna Fonseca,427,Partly Cloudy,62
