TEAM,GAMEID,SHOTS,SAVES,CORNERS,FOULS,OFFSIDE,HOME
South Florida Surf,1,19,5,2,8,1,FALSE
Red Force FC,1,15,7,2,18,1,TRUE
Christos FC,2,?,?,?,?,?,FALSE
Fredericksburg FC,2,?,?,?,?,?,TRUE
SC United Bantams,3,?,?,?,?,?,FALSE
Atlanta Silverbacks,3,?,?,?,?,?,TRUE
Burlingame Dragons FC,4,?,?,?,?,?,FALSE
El Farolito,4,?,?,?,?,?,TRUE
Boston City FC,5,13,0,1,26,0,FALSE
Western Mass Pioneers,5,8,4,4,22,4,TRUE
FC Motown,6,25,1,16,13,2,FALSE
New Jersey Copa FC,6,8,5,2,13,2,TRUE
Chattanooga FC,7,4,9,3,10,3,FALSE
Charlotte Eagles,7,11,5,3,12,1,TRUE
Legacy 76,8,?,?,?,?,?,FALSE
Carolina Dynamo,8,?,?,?,?,?,TRUE
Boca Raton FC,9,5,1,5,11,0,FALSE
Miami United FC,9,8,2,2,11,3,TRUE
The Villages SC,10,?,?,?,?,?,FALSE
Jacksonville Armada U23,10,?,?,?,?,?,TRUE
Junior Lone Star FC,11,12,6,4,20,3,FALSE
Ocean City Noreasters,11,12,3,7,7,5,TRUE
Clarkstown SC Eagles,12,5,5,4,5,1,FALSE
Reading United AC,12,10,4,5,10,2,TRUE
AFC Ann Arbor,13,3,3,2,10,1,FALSE
Michigan Bucks,13,7,2,2,15,2,TRUE
Tartan Devils Oak Avalon,14,?,?,?,?,?,FALSE
Derby City Rovers,14,?,?,?,?,?,TRUE
GPS Omens,15,?,?,?,?,?,FALSE
GPS Portland Phoenix,15,?,?,?,?,?,TRUE
NXT Rayados,16,2,9,2,9,1,FALSE
Dutch Lions FC,16,7,4,5,21,2,TRUE
Azteca FC,17,6,4,8,15,2,FALSE
FC Wichita,17,16,2,6,18,5,TRUE
AFC Cleveland,18,9,9,3,7,3,FALSE
Des Moines Menace,18,13,5,5,8,1,TRUE
Oklahoma City Energy U23,19,10,4,1,11,3,FALSE
Tulsa Athletic,19,15,4,3,14,2,TRUE
Anahuac FC,20,?,?,?,?,?,FALSE
Sonoma County Sol,20,?,?,?,?,?,TRUE
Chula Vista FC,21,10,2,2,17,3,FALSE
Albion SC Pros,21,9,1,2,11,0,TRUE
Outbreak FC,22,?,?,?,?,?,FALSE
FC Golden State Force,22,?,?,?,?,?,TRUE
La Maquina FC,23,12,10,5,14,3,FALSE
Fresno Fuego,23,18,5,5,12,4,TRUE
Moreno Valley FC,24,3,7,4,4,1,FALSE
Ventura County Fusion,24,16,4,7,8,4,TRUE
Colorado Rush,25,2,5,6,15,3,FALSE
FC Tucson,25,13,3,5,12,2,TRUE
Seattle Sounders FC U23,26,22,2,5,14,2,FALSE
OSA FC,26,15,3,8,17,3,TRUE
San Diego Zest,27,7,4,6,8,0,FALSE
Los Angeles Wolves,27,20,1,5,13,2,TRUE
Grand Rapids FC,28,?,?,?,?,?,FALSE
Chicago FC United,28,?,?,?,?,?,TRUE
Jacksonville Armada U23,29,7,3,3,8,4,FALSE
Tampa Bay Rowdies,29,11,0,4,8,1,TRUE
Charleston Battery,30,7,1,1,13,1,FALSE
Atlanta Silverbacks,30,13,1,4,15,1,TRUE
Christos FC,31,10,7,3,9,?,FALSE
Richmond Kickers,31,22,2,3,16,?,TRUE
FC Motown,32,5,2,1,8,3,FALSE
Rochester Rhinos,32,12,1,5,16,6,TRUE
GPS Omens,33,?,?,?,?,?,FALSE
Boston City FC,33,?,?,?,?,?,TRUE
